1	하나
eating out	외식
economic depression	불경기
economic power	경제력
economics	경제학
economy	경제
education	교육
educational background	학력
educator	교육자
effect	효과
effort	노력
egg	계란
egg	달걀
egg, ball	알
Egypt	이집트
elderly	노인
elderly and physically handicapped	노약자
elder, senior	선배
eldest daughter	맏딸
eldest daughter	장녀
eldest son	장남
eldest son	맏아들
electrical outlet, socket	콘센트
electric car	전기자동차
electricity	전기
electron	전자
electronic dictionary	전자사전
electronic transfer, ATM deposit	무통장 입금
elementary school	초등학교
elementary student	초등학생
elephant	코끼리
elevator	승강기
elevator	엘리베이터
e-mail	메일
e-mail	이메일
embassy	대사관
embrace, cradle	안다
emergency medicine	비상약
emergency room	응급실
emotion	감정
emphasis	강조
employee	종업원
employee	회사원
employee, staff	직원
encounter, meeting	만남
encouragement	격려
end	끝
endeavor, strive	노력하다
end (of a story)	결말
end of month	월말
end of the year	연말
enemy	적
energy	에너지
energy, qi	기운
engagement	약혼
engine	엔진
English	영어
English conversation	영어회화
enjoy, have fun	즐기다
enough	충분하다
enough, sufficiently, fully	충분히
enrollment	재학
entertainers	탤런트
entertainment	오락
entire	전체
entrance	입구
entrance	현관
entrance door	현관문
entrance examination	입시
entrance examination	입학시험
entrance to a higher educational institution	진학
entrepreneur	기업인
entrepreneur, businessman	사업가
entry	가입
envelope	봉투
environment	환경
equal	평등
era, generation	시대
eraser	지우개
errand	볼일
errand	심부름
especially	특별히
especially, in particular	특히
essay, writing	작문
etc, back	등
eternally, everlastingly, forever	영원히
ethnic group	민족
Europe	유럽
evaluation	평가
even if	비록
even if, for example, diarrhea	설사
evenly	골고루
even more	더욱
even number	짝수
event	행사
event hall	행사장
everyday	매일
everyday life	일상생활
everyone, ladies and gentlemen	여러분
every week	매주
exactly, absolutely	꼭
examinee	응시자
example, model sentence	예문
example, sample	보기
exam, test	시험
exceed, more than	넘다
excellence	우수성
except, besides	이외
excessive air conditioning syndrome	냉방병
excessive drinking	과음
exchange	교환
exchange rate	환율
excitement	흥분
excuse	실례
excuse	변명
excuse	핑계
executive, CEO	경영자
exercise	운동
exercise	운동하다
exhibition	전시
exhibition	전시회
exit	출구
expectation	기대
expectation	예상
expense, spending	지출
expensive	비싸다
experience	경험
experience	체험
experiment	실험
expert	전문가
explain	설명하다
explanation, description	설명
explosion	폭발
export	수출
express bus	고속버스
expression	표현
extension	연장
extreme heat (in summer)	무더위
extremely, to a great extent	굉장히
extremely, very	매우
eyebrow	눈썹
eye disease	눈병
eye drop	안약
eye-level	눈높이
eye, snow	눈
face	얼굴
facial expression	표정
facility	시설
fact	사실
factory	공장
failure	실패
fairly, pretty	상당히
fairy tale	동화
fall down, fall	넘어지다
fallen leaves	낙엽
familly	식구
family	가족
family	가정
family	집안
famous	유명하다
famous place	명소
fan	팬
fan	부채
fan	선풍기
far away	멀리
far, distant, long	멀다
farewell	이별
farewell party	환송회
farmer	농민
farmer	농부
(farm) field	밭
fashion	패션
fashion show	패션쇼
fast	빠르다
fast food	패스트푸드
fate	운명
father	아버님
father	아버지
father-in-law	시아버지
fatigue	피로
fat, region	지방
favor	호감
favor, grace	은혜
fax	팩스
fear	겁
fear	공포
fear	두려움
February	이월
fee	요금
feel	느끼다
feeling	기분
feeling	느낌
female	여성
female student	여학생
fermented soybean paste	된장
festival	축제
fiance	약혼자
(field of) medicine	의학
field, ~s,	들
fight	싸움
fight	싸우다
file	파일
film	필름
film director	영화감독
film festival	영화제
filming site	촬영지
final game/round	결승전
finally	드디어
finally	마침내
finally, eventually	끝내
finally now	이제야
find, visit	찾다
fine	벌금
finger	손가락
finish	끝내다
finish, end	끝나다
finish, end	마치다
fire	화재
fire department	소방서
fire, electrical light	불
firefighter	소방관
firetruck	소방차
firework	불꽃놀이
first	첫
first	우선
first	첫째
first day	첫날
first, first of all, before	먼저
first, for the first time	처음
first half	전반전
first impression	첫인상
first love	첫사랑
first of all, firstly	일단
first place	일등
first snow	첫눈
fish	생선
fish	물고기
fishing	낚시
fist	주먹
fit, appropriate	알맞다
fix	고치다
flame, light	불빛
flavor, taste	맛
flea market	벼룩시장
flesh, ~ year(s) old	살
flight	항공
flight	항공편
flight ticket	항공권
flood	홍수
florist	꽃집
flour	밀가루
flower	꽃
flowerpot	화분
flower vase	꽃병
fog	안개
folklore	민속
folk play	민속놀이
folk song	민요
folk village	민속촌
follow	따르다
follow	따라가다
food	식품
food	먹을거리
food and drink	음식물
food, cooking	음식
food expenses	식비
football, soccer	축구
foot, leg	발
footprints	발자국
footsteps	발걸음
for a bit, for a while, a little	잠시
for a long time	한참
for a long time	오랫동안
for a moment	한순간
for a while, a little	잠깐
for a while (from now on)	당분간
forcibly	억지로
forecast	예보
forecast	예측
forehead	이마
foreign country	외국
foreigner	외국인
foreign language	외국어
foreign student, international student	유학생
forest	숲
forest fire	산불
forever	평생
forget	잊다
forget	잊어버리다
forgetfully, with a blink	깜빡
forgetfulness	건망증
forgiveness	용서
for, in favor of, for the sake of	위하다
form	형태
formal clothes, suits	정장
form, arise	생기다
formula, method	식
form, western style	양식
for no reason	괜히
for some reason	왠지
for some reason, What was it?	웬일
forsythia	개나리
fortunately	다행히
fortune	복
fortune, luck	다행
fountain pen	만년필
four days	나흘
four seasons	사계절
fourth	넷째
fragrance	향기
France	프랑스
free	공짜
free	무료
freedom	자유
frequently	자꾸
freshmen	신입생
Friday	금요일
fried rice	볶음밥
friend	친구
friendship	우정
frog	개구리
from time to time, sometimes	종종
front door, main gate	정문
front, previous	앞
fruit	과일
frustration	짜증
frustration, regret	아쉬움
fry	볶다
frying pan	프라이팬
full	가득
full moon	보름달
full, much	잔뜩
fun, be pleasant	즐겁다
function	기능
funeral	장례식
funeral hall	장례식장
funny, make someone laugh	웃기다
furniture	가구
furniture store	가구점
furthermore, moreover	더구나
future	미래
future	앞날
future	장래
gain, increase	늘다
Galbitang, spareribs soup	갈비탕
Galvi, spareribs	갈비
game	게임
game machine	게임기
game of go	바둑
game of Yut, Yunnori	윷놀이
Gamjatang, potato soup	감자탕
garbage	쓰레기
garbage recycling	분리수거
garden	마당
garlic	마늘
gas	가스
gasoline	휘발유
gas station	주유소
gather, get together	모이다
gender	성별
gender equality	남녀평등
general affairs division	총무과
generation	세대
genius, natural disaster	천재
Germany	독일
gesture	몸짓
get a job	취직하다
get angry	화내다
get caught, take (time)	걸리다
get married	결혼하다
get up, stand up	일어서다
ghost	귀신
gift certificate	상품권
gift, present	선물
Gimpo International Airport	김포공항
